snapshot_type,snapshot_time_utc,delivery_date,game_id,player_id,player_name,team,opponent,is_home,stat,pmf_json,pmf_mean,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,minutes_mean,minutes_q50,minutes_p10,minutes_p50,minutes_p90,minutes_std,p_inactive_used,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,sportsbook,book,market_key,line,market_line,p_over,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error,expected_lineup_status,official_lineup_status,lineup_source,injury_context_source,injury_report_fetched_at_utc
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,pts,"{""0"": 0.0025747182740710937, ""1"": 0.003979603159610515, ""2"": 0.009156312886773226, ""3"": 0.019259279499530445, ""4"": 0.03755544438754001, ""5"": 0.04333389783221069, ""6"": 0.04686959171987949, ""7"": 0.06758134562894491, ""8"": 0.06712926434356561, ""9"": 0.0718536436497185, ""10"": 0.06357078956542643, ""11"": 0.06745646017115733, ""12"": 0.11555664532188253, ""13"": 0.06473922707693458, ""14"": 0.053120495973311845, ""15"": 0.05416590284485098, ""16"": 0.04807880466556886, ""17"": 0.039963659735238376, ""18"": 0.03248653179407102, ""19"": 0.01665683886849606, ""20"": 0.020560152899589863, ""21"": 0.01032668333877503, ""22"": 0.011275064654089728, ""23"": 0.009180773955923665, ""24"": 0.01055682763077847, ""25"": 0.0028908068741374, ""26"": 0.004488581128058611, ""27"": 0.001645720786181361, ""28"": 0.0018070280077646772, ""29"": 0.0008725265909219107, ""30"": 0.00041962104077722265, ""31"": 0.00017765874835845772, ""32"": 0.00018745216623836027, ""33"": 0.0002771207138075285, ""34"": 5.0734640308301165e-05, ""35"": 3.523990537290414e-05, ""36"": 5.0928410885467866e-05, ""37"": 3.837305076669339e-05, ""38"": 3.679914247088009e-05, ""39"": 1.3538356435781094e-05, ""40"": 2.23916805979281e-06, ""41"": 5.513917102657755e-06, ""43"": 1.2058013255484881e-06, ""44"": 9.673086418462663e-07, ""45"": 7.700865204521608e-07, ""49"": 9.21427792492132e-06}",11.5893,11.5893,11,12,0.0026,0.9974,0.9934,0.9843,0.965,0.9275,0.8841,0.8373,0.7697,0.7026,0.6307,0.5671,0.4997,0.3841,0.3194,0.2663,0.2121,0.164,0.1241,0.0916,0.0749,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,betparx,betparx,player_pts_over_under,10.5,10.5,0.5671,-130.0,-103.0,0.527,0.473,0.4329,-131.0,131.0,0.0402,0.0402,-0.0402,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,pts,"{""0"": 0.0025747182740710937, ""1"": 0.003979603159610515, ""2"": 0.009156312886773226, ""3"": 0.019259279499530445, ""4"": 0.03755544438754001, ""5"": 0.04333389783221069, ""6"": 0.04686959171987949, ""7"": 0.06758134562894491, ""8"": 0.06712926434356561, ""9"": 0.0718536436497185, ""10"": 0.06357078956542643, ""11"": 0.06745646017115733, ""12"": 0.11555664532188253, ""13"": 0.06473922707693458, ""14"": 0.053120495973311845, ""15"": 0.05416590284485098, ""16"": 0.04807880466556886, ""17"": 0.039963659735238376, ""18"": 0.03248653179407102, ""19"": 0.01665683886849606, ""20"": 0.020560152899589863, ""21"": 0.01032668333877503, ""22"": 0.011275064654089728, ""23"": 0.009180773955923665, ""24"": 0.01055682763077847, ""25"": 0.0028908068741374, ""26"": 0.004488581128058611, ""27"": 0.001645720786181361, ""28"": 0.0018070280077646772, ""29"": 0.0008725265909219107, ""30"": 0.00041962104077722265, ""31"": 0.00017765874835845772, ""32"": 0.00018745216623836027, ""33"": 0.0002771207138075285, ""34"": 5.0734640308301165e-05, ""35"": 3.523990537290414e-05, ""36"": 5.0928410885467866e-05, ""37"": 3.837305076669339e-05, ""38"": 3.679914247088009e-05, ""39"": 1.3538356435781094e-05, ""40"": 2.23916805979281e-06, ""41"": 5.513917102657755e-06, ""43"": 1.2058013255484881e-06, ""44"": 9.673086418462663e-07, ""45"": 7.700865204521608e-07, ""49"": 9.21427792492132e-06}",11.5893,11.5893,11,12,0.0026,0.9974,0.9934,0.9843,0.965,0.9275,0.8841,0.8373,0.7697,0.7026,0.6307,0.5671,0.4997,0.3841,0.3194,0.2663,0.2121,0.164,0.1241,0.0916,0.0749,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,betparx,betparx,player_pts_over_under,11.5,11.5,0.4997,104.0,-139.0,0.4574,0.5426,0.5003,100.0,-100.0,0.0423,0.0423,-0.0423,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,pts,"{""0"": 0.0025747182740710937, ""1"": 0.003979603159610515, ""2"": 0.009156312886773226, ""3"": 0.019259279499530445, ""4"": 0.03755544438754001, ""5"": 0.04333389783221069, ""6"": 0.04686959171987949, ""7"": 0.06758134562894491, ""8"": 0.06712926434356561, ""9"": 0.0718536436497185, ""10"": 0.06357078956542643, ""11"": 0.06745646017115733, ""12"": 0.11555664532188253, ""13"": 0.06473922707693458, ""14"": 0.053120495973311845, ""15"": 0.05416590284485098, ""16"": 0.04807880466556886, ""17"": 0.039963659735238376, ""18"": 0.03248653179407102, ""19"": 0.01665683886849606, ""20"": 0.020560152899589863, ""21"": 0.01032668333877503, ""22"": 0.011275064654089728, ""23"": 0.009180773955923665, ""24"": 0.01055682763077847, ""25"": 0.0028908068741374, ""26"": 0.004488581128058611, ""27"": 0.001645720786181361, ""28"": 0.0018070280077646772, ""29"": 0.0008725265909219107, ""30"": 0.00041962104077722265, ""31"": 0.00017765874835845772, ""32"": 0.00018745216623836027, ""33"": 0.0002771207138075285, ""34"": 5.0734640308301165e-05, ""35"": 3.523990537290414e-05, ""36"": 5.0928410885467866e-05, ""37"": 3.837305076669339e-05, ""38"": 3.679914247088009e-05, ""39"": 1.3538356435781094e-05, ""40"": 2.23916805979281e-06, ""41"": 5.513917102657755e-06, ""43"": 1.2058013255484881e-06, ""44"": 9.673086418462663e-07, ""45"": 7.700865204521608e-07, ""49"": 9.21427792492132e-06}",11.5893,11.5893,11,12,0.0026,0.9974,0.9934,0.9843,0.965,0.9275,0.8841,0.8373,0.7697,0.7026,0.6307,0.5671,0.4997,0.3841,0.3194,0.2663,0.2121,0.164,0.1241,0.0916,0.0749,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fliff,fliff,player_pts_over_under,11.5,11.5,0.4997,-110.0,-135.0,0.4769,0.5231,0.5003,100.0,-100.0,0.0227,0.0227,-0.0227,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,12.5,12.5,0.0323,450.0,-800.0,0.1698,0.8302,0.9677,2997.0,-2997.0,-0.1375,-0.1375,0.1375,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,11.5,11.5,0.0817,290.0,-440.0,0.2394,0.7606,0.9183,1124.0,-1124.0,-0.1576,-0.1576,0.1576,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,10.5,10.5,0.1409,188.0,-260.0,0.3247,0.6753,0.8591,610.0,-610.0,-0.1838,-0.1838,0.1838,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,9.5,9.5,0.235,114.0,-152.0,0.4365,0.5635,0.765,326.0,-326.0,-0.2016,-0.2016,0.2016,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,williamhill_us,williamhill_us,player_reb_over_under,8.5,8.5,0.3685,-128.0,-102.0,0.5265,0.4735,0.6315,171.0,-171.0,-0.158,-0.158,0.158,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,8.5,8.5,0.3685,-128.0,-104.0,0.5241,0.4759,0.6315,171.0,-171.0,-0.1556,-0.1556,0.1556,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,6.5,6.5,0.7435,-400.0,270.0,0.7475,0.2525,0.2565,-290.0,290.0,-0.004,-0.004,0.004,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
morning,2026-06-05T20:41:43Z,2026-06-05,21716135,202,Josh Hart,NYK,SAS,False,reb,"{""0"": 0.002594824724258881, ""1"": 0.0024711405376999012, ""2"": 0.006264913213659631, ""3"": 0.01751129775689036, ""4"": 0.0381023028689896, ""5"": 0.08306439998555094, ""6"": 0.10647510587184163, ""7"": 0.16346167642688814, ""8"": 0.21157518823239366, ""9"": 0.13352702668264063, ""10"": 0.0940751343984478, ""11"": 0.05914520558735392, ""12"": 0.04944256699000166, ""13"": 0.018527302781094886, ""14"": 0.007993292316244753, ""15"": 0.002713084877154743, ""16"": 0.0022600377863004517, ""17"": 0.0007059122740842705, ""18"": 5.861615614170445e-05, ""19"": 1.6348729453846915e-05, ""20"": 6.563255328398972e-06, ""21"": 5.946890852228226e-06, ""22"": 1.4315434802012929e-06, ""23"": 4.974680472855283e-07, ""24"": 1.3903571331379772e-07, ""25"": 2.835751589668251e-08, ""26"": 1.2723067331187646e-08, ""27"": 1.6743106118230908e-09, ""28"": 3.413009706982849e-10, ""29"": 4.6423831485230197e-10, ""30"": 4.9054091824692057e-11}",7.9406,7.9406,8,8,0.0026,0.9974,0.9949,0.9887,0.9712,0.9331,0.85,0.7435,0.5801,0.3685,0.235,0.1409,0.0817,0.0323,0.0138,0.0058,0.0031,0.0008,0.0001,0.0,0.0,3c28b14c#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,28.4445,30.5604,13.9063,30.5604,36.9834,9.3316,0.05,0.9347,0.5014,core,True,current_market_line,True,fanduel,fanduel,player_reb_over_under,7.5,7.5,0.5801,-215.0,158.0,0.6378,0.3622,0.4199,-138.0,138.0,-0.0578,-0.0578,0.0578,2026-06-05T20:40:20.487879Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-06-05T20:40:40Z
