snapshot_type,snapshot_time_utc,delivery_date,game_id,player_id,player_name,team,opponent,is_home,stat,pmf_json,pmf_mean,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,minutes_mean,minutes_q50,minutes_p10,minutes_p50,minutes_p90,minutes_std,p_inactive_used,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,sportsbook,book,market_key,line,market_line,p_over,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error,expected_lineup_status,official_lineup_status,lineup_source,injury_context_source,injury_report_fetched_at_utc
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,fanduel,fanduel,player_pts_over_under,7.5,7.5,0.8751,-900.0,490.0,0.8415,0.1585,0.1249,-701.0,701.0,0.0336,0.0336,-0.0336,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,williamhill_us,williamhill_us,player_pts_over_under,13.5,13.5,0.537,-118.0,-113.0,0.505,0.495,0.463,-116.0,116.0,0.032,0.032,-0.032,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,16.5,16.5,0.307,200.0,-275.0,0.3125,0.6875,0.693,226.0,-226.0,-0.0055,-0.0055,0.0055,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,15.5,15.5,0.3648,155.0,-210.0,0.3666,0.6334,0.6352,174.0,-174.0,-0.0018,-0.0018,0.0018,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,14.5,14.5,0.4475,120.0,-160.0,0.4248,0.5752,0.5525,123.0,-123.0,0.0227,0.0227,-0.0227,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,13.5,13.5,0.537,-105.0,-125.0,0.4797,0.5203,0.463,-116.0,116.0,0.0574,0.0574,-0.0574,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,12.5,12.5,0.5983,-135.0,105.0,0.5408,0.4592,0.4017,-149.0,149.0,0.0575,0.0575,-0.0575,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,11.5,11.5,0.6607,-185.0,140.0,0.6091,0.3909,0.3393,-195.0,195.0,0.0516,0.0516,-0.0516,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,bovada,bovada,player_pts_over_under,10.5,10.5,0.7261,-260.0,190.0,0.6768,0.3232,0.2739,-265.0,265.0,0.0492,0.0492,-0.0492,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
morning,2026-05-28T16:58:09Z,2026-05-28,21713533,3547246,Devin Vassell,SAS,OKC,True,pts,"{""0"": 0.0015467305447048945, ""1"": 0.0019018786748384894, ""2"": 0.005334311370751007, ""3"": 0.008457491894356864, ""4"": 0.016291196026427947, ""5"": 0.02686883018533859, ""6"": 0.032504370430962805, ""7"": 0.03198175820728014, ""8"": 0.036951415031201515, ""9"": 0.05483509426025039, ""10"": 0.05725684639734814, ""11"": 0.06537084462937832, ""12"": 0.062442505987450055, ""13"": 0.06120952934401168, ""14"": 0.08951247091700146, ""15"": 0.08270790138443958, ""16"": 0.05786322365892659, ""17"": 0.05224365159578907, ""18"": 0.05036212554093168, ""19"": 0.05830697684077571, ""20"": 0.0433709748645434, ""21"": 0.01939059003080863, ""22"": 0.020793730551040564, ""23"": 0.01666639789381407, ""24"": 0.008683453764296478, ""25"": 0.010634163358948475, ""26"": 0.0047894631425889215, ""27"": 0.008454201635252996, ""28"": 0.004875705265938004, ""29"": 0.002944253904143468, ""30"": 0.003087121420591596, ""31"": 0.0006482054853742258, ""32"": 0.0003854534401002323, ""33"": 0.000474703527035139, ""34"": 0.00016824844673585178, ""35"": 0.00013782893676674666, ""36"": 0.00017558568801245627, ""37"": 0.0001377744553321172, ""38"": 6.907204810422708e-05, ""39"": 2.552374069146965e-05, ""40"": 3.366393415603458e-05, ""41"": 3.354645990792351e-05, ""42"": 1.4889874573841901e-05, ""43"": 4.5072759961236964e-05, ""46"": 1.12224491169681e-05}",13.9407,13.9407,14,14,0.0015,0.9985,0.9966,0.9912,0.9828,0.9665,0.9396,0.9071,0.8751,0.8382,0.7833,0.7261,0.6607,0.5983,0.537,0.4475,0.3648,0.307,0.2547,0.2044,0.1461,9f5ec727#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,starter,projected_minutes,high,30.3022,33.6667,12.8148,33.6667,39.0982,10.3422,0.05,0.9403,0.608,starter,True,current_market_line,True,betmgm,betmgm,player_pts_over_under,13.5,13.5,0.537,-125.0,-105.0,0.5203,0.4797,0.463,-116.0,116.0,0.0167,0.0167,-0.0167,2026-05-28T16:57:07.785859Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,bdl_plus_nba_official,2026-05-28T16:57:24Z
